Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,4.6,59,67,,140.208,162,170,,
2,1,1,,,,3.1,54,80,,94.488,157,183,,
3,1,2,,,,4.4,61,93,,134.112,164,196,,
4,,,1.5,-,-,4.9,150,163,,149.352,253,266,,
5,2,1,,,,8.2,230,235,,249.936,333,338,,
6,2,2,,,,7.8,250,263,,237.744,353,366,,
7,,,2.5,-,-,7.4,185,291,,225.552,288,394,,
8,3,1,,,,7.7,300,342,,234.696,403,445,,
9,3,2,,,,8.1,300,344,,246.888,403,447,,
10,,,3.5,-,-,15.1,398,427,,460.248,501,530,,
11,4,1,,,,15.4,440,449,,469.392,543,552,,
12,4,2,,,,15.6,445,462,,475.488,548,565,,
13,,,4.5,-,-,6,398,404,,182.88,501,507,,
14,5,1,,,,7.1,270,283,,216.408,373,386,,
15,5,2,,,,4,283,292,,121.92,386,395,,
16,,,5.5,-,-,5.7,160,168,,173.736,263,271,,
