tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Core,Site ID,core #,duplicate
1,1.4842,24.1355,20.9224,4.5,11.7038,1.428,11.4634,NA,,62.34490621,19.4382,10.2196,10.0354,#VALUE!,0.163920368,#VALUE!,#VALUE!,0-4.5 (with cap),1-Jan,2,1,1
2,1.4862,18.6785,16.3446,4,7.0449,1.4268,6.6947,NA,,55.41769441,14.8584,5.5587,5.2679,#VALUE!,0.100305508,#VALUE!,#VALUE!,0-4,1-Feb,5,2,1
3,1.5162,20.8525,18.421,4,12.6876,1.4158,12.2947,NA,,55.41769441,16.9048,11.1714,10.8789,#VALUE!,0.201585434,#VALUE!,#VALUE!,8-Apr,1-Feb,5,2,1
4,1.4911,36.4426,33.7904,4.5,27.12,1.4338,26.6236,NA,,62.34490621,32.2993,25.6289,25.1898,#VALUE!,0.411082501,#VALUE!,#VALUE!,8-12.5,1-Feb,5,2,1
5,1.4873,20.9592,19.1383,4,6.5888,1.4335,6.3035,NA,,55.41769441,17.651,5.1015,4.87,#VALUE!,0.092055436,#VALUE!,#VALUE!,0-4,1-Mar,8,3,1
6,1.5116,15.7002,14.2442,4,6.1156,1.4123,5.7976,NA,,55.41769441,12.7326,4.604,4.3853,#VALUE!,0.083078159,#VALUE!,#VALUE!,8-Apr,1-Mar,8,3,1
7,1.5071,30.3474,28.6597,8,12.3861,1.4265,12.1225,NA,,110.8353888,27.1526,10.879,10.696,#VALUE!,0.098154571,#VALUE!,#VALUE!,16-Aug,1-Mar,8,3,1
8,1.4839,41.7588,39.2908,8,27.146,1.489,20.9555,NA,,110.8353888,37.8069,25.6621,19.4665,#VALUE!,0.23153345,#VALUE!,#VALUE!,16-24,1-Mar,8,3,1
9,1.5018,20.4555,18.8805,4,15.6901,1.4085,10.4993,NA,,55.41769441,17.3787,14.1883,9.0908,#VALUE!,0.256024726,#VALUE!,#VALUE!,24-28,1-Mar,8,3,1
10,1.4864,16.71231,14.4335,4,5.3649,1.4221,5.1062,NA,,55.41769441,12.9471,3.8785,3.6841,#VALUE!,0.069986672,#VALUE!,#VALUE!,0-4,1-Apr,11,4,1
11,1.4958,15.4311,13.5522,4,5.749,1.4089,5.4527,NA,,55.41769441,12.0564,4.2532,4.0438,#VALUE!,0.07674805,#VALUE!,#VALUE!,8-Apr,1-Apr,11,4,1
12,1.4697,30.0034,27.0842,8,11.4714,1.4404,11.1232,NA,,110.8353888,25.6145,10.0017,9.6828,#VALUE!,0.090239229,#VALUE!,#VALUE!,16-Aug,1-Apr,11,4,1
13,1.5036,35.0133,32.5116,8,18.1845,1.3916,16.0345,NA,,110.8353888,31.008,16.6809,14.6429,#VALUE!,0.15050157,#VALUE!,#VALUE!,16-24,1-Apr,11,4,1
14,1.5027,15.3456,12.6408,3,7.2842,1.4249,6.7921,NA,,41.56327081,11.1381,5.7815,5.3672,#VALUE!,0.13910118,#VALUE!,#VALUE!,24-27,1-Apr,11,4,1
15,1.4952,15.2701,13.1543,4,4.7184,1.4056,4.4876,NA,,55.41769441,11.6591,3.2232,3.082,#VALUE!,0.058161929,#VALUE!,#VALUE!,0-4,1-May,14,5,1
16,1.5052,13.7248,12.0991,4,5.4337,1.4823,5.2561,NA,,55.41769441,10.5939,3.9285,3.7738,#VALUE!,0.070888911,#VALUE!,#VALUE!,8-Apr,1-May,14,5,1
17,1.4802,33.2614,31.3992,8,15.8279,1.4943,11.211,NA,,110.8353888,29.919,14.3477,9.7167,#VALUE!,0.129450532,#VALUE!,#VALUE!,16-Aug,1-May,14,5,1
18,1.5197,18.4337,16.6115,3,10.6368,1.4225,9.2927,NA,,41.56327081,15.0918,9.1171,7.8702,#VALUE!,0.219354729,#VALUE!,#VALUE!,16-19,1-May,14,5,1
