Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,3.2,20,51,,97.536,135,166,,
2,1,1,,,,8.1,149,208,,246.888,264,323,,
3,1,2,,,,7.6,157,193,,231.648,272,308,,
4,,,1.5,-,-,11.8,276,308,,359.664,391,423,,
5,2,1,,,,13.6,316,365,,414.528,431,480,,
6,2,2,,,,13.5,308,340,,411.48,423,455,,
7,,,2.5,-,-,14.7,347,373,,448.056,462,488,,
8,3,1,,,,15.4,380,411,,469.392,495,526,,
9,3,2,,,,15.4,381,410,,469.392,496,525,,
10,,,3.5,-,-,15.8,408,439,,481.584,523,554,,
11,4,1,,,,15.2,380,414,,463.296,495,529,,
12,4,2,,,,15.6,no core,no core,,475.488,#VALUE!,#VALUE!,,
13,,,4.5,-,-,12.8,273,294,,390.144,388,409,,
14,5,1,,,,7,112,132,,213.36,227,247,,
15,5,2,,,,6.2,109,137,,188.976,224,252,,
16,,,5.5,-,-,5.7,15,27,,173.736,130,142,,
