Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,4.3,21,29,,131.064,136,144,,
2,1,1,,,,5,45,52,,152.4,160,167,,
3,1,2,,,,5,51,57,,152.4,166,172,,
4,,,1.5,-,-,4.7,58,64,,143.256,173,179,,
5,2,1,,,,5.2,60,68,,158.496,175,183,,
6,2,2,,,,5.5,61,65,,167.64,176,180,,
7,,,2.5,-,-,5.6,66,72,,170.688,181,187,,
8,3,1,,,,5.7,70,83,,173.736,185,198,,
9,3,2,,,,5.8,68,74,,176.784,183,189,,
10,,,3.5,-,-,5.5,68,72,,167.64,183,187,,
11,4,1,,,,5.4,60,65,,164.592,175,180,,
12,4,2,,,,5.3,59,68,,161.544,174,183,,
13,,,4.5,-,-,4.3,35,41,,131.064,150,156,,
14,5,1,,,,3.9,-33,-23,,118.872,82,92,,
15,5,2,,,,4.3,-35,-28,,131.064,80,87,,
16,,,5.5,-,-,3.7,-58,-55,,112.776,57,60,,
