Site ID,core #,duplicate,intermediate,Latitude,Longitude,depthtrax (ft),pole depth (cm),DTR (cm),,depthtrax (cm),true pole depth (cm),true DTR (cm),deeper min,deeper max
1,,,0.5,-,-,5.5,58,76,,167.64,173,191,,
2,1,1,,,,6.9,105,128,,210.312,220,243,,
3,1,2,,,,6.3,94,114,,192.024,209,229,,
4,,,1.5,-,-,7.8,62,87,,237.744,177,202,,
5,2,1,,,,4.4,34,45,,134.112,149,160,,
6,2,2,,,,4.2,25,36,,128.016,140,151,,
7,,,2.5,-,-,3.7,38,53,,112.776,153,168,,
8,3,1,,,,4.3,30,40,,131.064,145,155,,
9,3,2,,,,4.1,19,34,,124.968,134,149,,
10,,,3.5,-,-,3.9,10,25,,118.872,125,140,,
11,4,1,,,,4,20,34,,121.92,135,149,,
12,4,2,,,,4,28,44,,121.92,143,159,,
13,,,4.5,-,-,4,15,31,,121.92,130,146,,
14,5,1,,,,3.6,4,22,,109.728,119,137,,
15,5,2,,,,3.6,4,27,,109.728,119,142,,
16,,,5.5,-,-,3.2,-4,4,,97.536,111,119,,
