tin #,first tin empty (g),tin + wet (g),mass after GS (g),section length (cm),tin + dry (g),second tin empty (g),second tin + dust (g), second tin + ashed (g),,volume (cm^2),wet sediment (g),dry sediment (g),"dust, after grinding (g)",ashed sediment (g),bulk density (g/cm^2),AFDM,LOI,sediment depth (cm),Site ID,core #,duplicate
1,1.4922,16.6184,,4,3.9167,1.2084,3.3781,NA,,55.41769441,-1.4922,2.4245,2.1697,#VALUE!,0.043749565,#VALUE!,#VALUE!,,2,1,1
2,1.4862,14.9769,,4,5.4281,1.2174,4.8952,NA,,55.41769441,-1.4862,3.9419,3.6778,#VALUE!,0.071130711,#VALUE!,#VALUE!,,2,1,1
3,1.5016,32.2208,,8,13.9789,1.2085,13.4156,NA,,110.8353888,-1.5016,12.4773,12.2071,#VALUE!,0.112575055,#VALUE!,#VALUE!,,2,1,1
4,1.4947,35.4492,,6.5,23.0983,1.2109,22.2808,NA,,90.05375342,-1.4947,21.6036,21.0699,#VALUE!,0.239896719,#VALUE!,#VALUE!,,2,1,1
5,1.5067,15.5242,,4,3.4829,1.2163,2.995,NA,,55.41769441,-1.5067,1.9762,1.7787,#VALUE!,0.035660091,#VALUE!,#VALUE!,,5,2,1
6,1.4728,15.5439,,4,6.3905,1.2116,5.908,NA,,55.41769441,-1.4728,4.9177,4.6964,#VALUE!,0.088738805,#VALUE!,#VALUE!,,5,2,1
7,1.4777,35.9891,,8,20.0727,1.2085,19.4176,NA,,110.8353888,-1.4777,18.595,18.2091,#VALUE!,0.167771325,#VALUE!,#VALUE!,,5,2,1
8,1.492,28.674,,5,15.814,1.2102,15.3385,NA,,69.27211801,-1.492,14.322,14.1283,#VALUE!,0.20674985,#VALUE!,#VALUE!,,5,2,1
9,1.4892,14.4616,10.7335,4,3.9729,1.2212,3.5464,NA,,55.41769441,9.2443,2.4837,2.3252,#VALUE!,0.044817815,#VALUE!,#VALUE!,,8,3,1
10,1.4765,15.1645,12.4341,4,6.5603,1.2186,6.1924,NA,,55.41769441,10.9576,5.0838,4.9738,#VALUE!,0.091736043,#VALUE!,#VALUE!,,8,3,1
11,1.4966,35.7861,33.3017,8,20.5161,1.2145,19.8678,NA,,110.8353888,31.8051,19.0195,18.6533,#VALUE!,0.171601329,#VALUE!,#VALUE!,,8,3,1
12,1.4894,23.537,21.9368,3.5,15.2085,1.2182,14.6701,NA,,48.49048261,20.4474,13.7191,13.4519,#VALUE!,0.282923561,#VALUE!,#VALUE!,,8,3,1
13,1.4996,12.6325,10.0022,4,3.7089,1.2026,3.2752,NA,,55.41769441,8.5026,2.2093,2.0726,#VALUE!,0.039866328,#VALUE!,#VALUE!,,11,4,1
14,1.5053,15.8675,12.6802,4,5.5785,1.2146,5.1499,NA,,55.41769441,11.1749,4.0732,3.9353,#VALUE!,0.07349999,#VALUE!,#VALUE!,,11,4,1
15,1.4987,35.6924,33.5501,8,18.7802,1.2159,18.3248,NA,,110.8353888,32.0514,17.2815,17.1089,#VALUE!,0.155920417,#VALUE!,#VALUE!,,11,4,1
16,1.5,22.2201,20.9713,3.5,14.3914,1.2048,13.8973,NA,,48.49048261,19.4713,12.8914,12.6925,#VALUE!,0.265854232,#VALUE!,#VALUE!,,11,4,1
17,1.4844,13.6679,11.177,4,3.1361,1.2962,2.8025,NA,,55.41769441,9.6926,1.6517,1.5063,#VALUE!,0.02980456,#VALUE!,#VALUE!,,14,5,1
18,1.4905,13.2916,10.1071,4,3.3809,1.2867,2.9685,NA,,55.41769441,8.6166,1.8904,1.6818,#VALUE!,0.034111849,#VALUE!,#VALUE!,,14,5,1
19,1.4978,34.7146,32.5683,8,17.0389,1.2871,16.5894,NA,,110.8353888,31.0705,15.5411,15.3023,#VALUE!,0.140217851,#VALUE!,#VALUE!,,14,5,1
20,1.4905,14.3767,12.9145,2.5,9.1404,1.2983,8.804,NA,,34.63605901,11.424,7.6499,7.5057,#VALUE!,0.220865197,#VALUE!,#VALUE!,,14,5,1
