Record Number	Sample Name	Measurement Date Time	Dx (10)	Dx (50)	Dx (90)	Operator Name	0.0100	0.0114	0.0129	0.0147	0.0167	0.0189	0.0215	0.0244	0.0278	0.0315	0.0358	0.0407	0.0463	0.0526	0.0597	0.0679	0.0771	0.0876	0.0995	0.113	0.128	0.146	0.166	0.188	0.214	0.243	0.276	0.314	0.357	0.405	0.460	0.523	0.594	0.675	0.767	0.872	0.991	1.13	1.28	1.45	1.65	1.88	2.13	2.42	2.75	3.12	3.55	4.03	4.58	5.21	5.92	6.72	7.64	8.68	9.86	11.2	12.7	14.5	16.4	18.7	21.2	24.1	27.4	31.1	35.3	40.1	45.6	51.8	58.9	66.9	76.0	86.4	98.1	111	127	144	163	186	211	240	272	310	352	400	454	516	586	666	756	859	976	1110	1260	1430	1630	1850	2100	2390	2710	3080	3500	GSD [3]	Kurtosis [3]	Mode	Mode [0]	Mode Count	Mode Percent [0]	Laser Obscuration	Invalid Snaps Reported
1	LL-3  T001-1	7/18/2025 11:37:01 AM	4.96	68.8	570	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.20	0.30	0.35	0.34	0.29	0.25	0.24	0.29	0.38	0.50	0.63	0.77	0.92	1.06	1.19	1.32	1.44	1.55	1.64	1.72	1.79	1.85	1.90	1.94	1.98	2.02	2.05	2.07	2.09	2.10	2.11	2.10	2.08	2.05	2.02	1.98	1.96	1.94	1.95	1.98	2.03	2.10	2.16	2.22	2.27	2.31	2.36	2.42	2.53	2.67	2.85	3.03	3.15	3.15	2.95	2.54	1.95	1.27	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.032	1.315	513	513	3	50.44	10.34	0
2	LL-3  T001-1	7/18/2025 11:37:25 AM	4.43	47.8	403	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.24	0.36	0.41	0.40	0.34	0.29	0.29	0.34	0.44	0.57	0.72	0.88	1.03	1.18	1.33	1.48	1.61	1.72	1.83	1.91	1.99	2.06	2.13	2.19	2.24	2.28	2.32	2.34	2.36	2.38	2.38	2.37	2.35	2.32	2.30	2.27	2.25	2.23	2.21	2.19	2.15	2.11	2.07	2.05	2.09	2.20	2.40	2.66	2.95	3.19	3.28	3.16	2.78	2.17	1.43	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.488	1.194	372	372	3	31.04	11.09	0
3	LL-3  T001-1	7/18/2025 11:37:49 AM	4.69	61.5	592	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.21	0.33	0.38	0.37	0.33	0.28	0.28	0.33	0.42	0.54	0.68	0.82	0.96	1.10	1.23	1.36	1.48	1.59	1.68	1.75	1.82	1.89	1.95	2.00	2.04	2.08	2.11	2.13	2.14	2.15	2.16	2.15	2.14	2.12	2.10	2.08	2.06	2.04	2.02	2.00	1.97	1.93	1.89	1.85	1.83	1.84	1.91	2.05	2.25	2.52	2.80	3.05	3.21	3.22	3.04	2.65	2.10	1.46	0.82	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.244	1.421	520	520	3	34.93	11.96	0
4	LL-3  T001-1	7/18/2025 11:38:12 AM	4.50	52.2	525	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.24	0.36	0.41	0.40	0.34	0.30	0.29	0.34	0.44	0.57	0.71	0.85	1.00	1.14	1.28	1.42	1.54	1.65	1.75	1.83	1.91	1.97	2.04	2.10	2.15	2.19	2.23	2.26	2.29	2.31	2.32	2.31	2.30	2.28	2.25	2.22	2.19	2.16	2.13	2.10	2.06	1.99	1.90	1.80	1.71	1.67	1.71	1.86	2.14	2.51	2.90	3.24	3.40	3.30	2.90	2.23	1.42	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.001	1.097	491	491	3	29.88	12.03	0
5	LL-3  T001-1	7/18/2025 11:38:35 AM	4.07	39.4	378	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.29	0.42	0.47	0.45	0.39	0.33	0.33	0.38	0.49	0.63	0.79	0.95	1.11	1.27	1.43	1.58	1.71	1.83	1.94	2.03	2.11	2.19	2.26	2.32	2.38	2.43	2.47	2.51	2.54	2.55	2.56	2.55	2.54	2.51	2.49	2.46	2.42	2.37	2.31	2.22	2.10	1.96	1.81	1.70	1.67	1.76	1.98	2.32	2.70	3.03	3.18	3.03	2.56	1.83	1.01	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.418	1.451	375	375	3	25.27	12.07	0
6	Average of 'LL-3  T001-1'	7/18/2025 11:37:01 AM	4.51	52.1	489	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.24	0.35	0.41	0.39	0.34	0.29	0.29	0.34	0.43	0.56	0.71	0.85	1.00	1.15	1.29	1.43	1.56	1.67	1.77	1.85	1.92	1.99	2.05	2.11	2.16	2.20	2.23	2.26	2.28	2.30	2.30	2.30	2.28	2.26	2.23	2.20	2.18	2.15	2.13	2.10	2.06	2.02	1.97	1.93	1.91	1.95	2.07	2.26	2.51	2.78	3.00	3.10	3.02	2.73	2.27	1.66	1.09	0.67	0.28	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.875	2.170	429	429	3	31.36	11.50	0
7	LL-3  T001-2	7/18/2025 12:13:41 PM	5.38	98.1	685	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.20	0.29	0.33	0.32	0.27	0.23	0.22	0.27	0.35	0.46	0.58	0.70	0.83	0.95	1.07	1.19	1.29	1.39	1.47	1.53	1.59	1.64	1.69	1.73	1.76	1.78	1.81	1.83	1.86	1.88	1.90	1.91	1.90	1.88	1.86	1.83	1.80	1.78	1.77	1.78	1.80	1.83	1.88	1.95	2.03	2.15	2.31	2.50	2.72	2.96	3.19	3.40	3.53	3.57	3.47	3.20	2.75	2.17	1.52	0.86	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.397	1.065	534	534	3	53.54	9.32	0
8	LL-3  T001-2	7/18/2025 12:14:04 PM	4.49	52.4	409	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.25	0.37	0.42	0.40	0.34	0.29	0.28	0.33	0.43	0.56	0.71	0.86	1.01	1.15	1.29	1.43	1.55	1.66	1.75	1.83	1.90	1.97	2.03	2.08	2.12	2.16	2.20	2.23	2.26	2.29	2.31	2.32	2.32	2.30	2.28	2.25	2.21	2.18	2.14	2.09	2.06	2.04	2.04	2.09	2.21	2.40	2.67	2.98	3.27	3.48	3.51	3.32	2.88	2.23	1.46	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.547	0.919	359	359	3	37.27	9.77	0
9	LL-3  T001-2	7/18/2025 12:14:27 PM	5.48	104	741	Mastersizer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.19	0.28	0.33	0.32	0.28	0.24	0.24	0.28	0.36	0.46	0.57	0.69	0.81	0.92	1.04	1.15	1.25	1.33	1.41	1.47	1.53	1.58	1.63	1.67	1.71	1.75	1.78	1.82	1.85	1.87	1.88	1.88	1.86	1.84	1.81	1.79	1.78	1.78	1.80	1.82	1.84	1.83	1.79	1.72	1.62	1.54	1.52	1.61	1.85	2.26	2.82	3.46	4.08	4.54	4.69	4.46	3.81	2.87	1.81	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.667	-0.047	616	616	4	40.54	10.52	0
